"","Date","hour","TemperatureF","Dew_PointF","Humidity","month","DayOfWeek","Weekday","Peak_hour"
"116",2016-10-05,20,55,48.9,80,10,3,1,0
"117",2016-10-05,21,55,48.9,80,10,3,1,0
"118",2016-10-05,22,54,48.9,83,10,3,1,0
"119",2016-10-05,23,52,48.9,89,10,3,1,0
"120",2016-10-06,0,52,48,86,10,4,1,0
"121",2016-10-06,1,51.1,48,89,10,4,1,0
"122",2016-10-06,2,50,48,93,10,4,1,0
"123",2016-10-06,3,51.1,48,89,10,4,1,0
"124",2016-10-06,4,50,46.9,89,10,4,1,0
"125",2016-10-06,5,48.9,46.9,93,10,4,1,0
"126",2016-10-06,6,48.9,46,90,10,4,1,0
"127",2016-10-06,7,52,48,86,10,4,1,1
"128",2016-10-06,8,55,48,77,10,4,1,1
"129",2016-10-06,9,57.9,46.9,67,10,4,1,1
"130",2016-10-06,10,59,48.9,69,10,4,1,1
"131",2016-10-06,11,62.1,48,60,10,4,1,1
"132",2016-10-06,12,63,48,58,10,4,1,1
"133",2016-10-06,13,64,46,52,10,4,1,1
"134",2016-10-06,14,66,36,33,10,4,1,1
"135",2016-10-06,15,64,46,52,10,4,1,1
"136",2016-10-06,16,64,46.9,54,10,4,1,1
"137",2016-10-06,17,63,48.9,60,10,4,1,1
"138",2016-10-06,18,61,53.1,75,10,4,1,1
"139",2016-10-06,19,61,55.9,83,10,4,1,0
"140",2016-10-06,20,60.1,54,80,10,4,1,0
"141",2016-10-06,21,59,53.1,81,10,4,1,0
"142",2016-10-06,22,57,53.1,87,10,4,1,0
"143",2016-10-06,23,55.9,53.1,90,10,4,1,0
"144",2016-10-07,0,54,53.1,97,10,5,1,0
"145",2016-10-07,1,55.9,51.1,84,10,5,1,0
"146",2016-10-07,2,54,51.1,90,10,5,1,0
"147",2016-10-07,3,57,50,77,10,5,1,0
"148",2016-10-07,4,54,50,86,10,5,1,0
"149",2016-10-07,5,54,48,80,10,5,1,0
"150",2016-10-07,6,54,48,80,10,5,1,0
"151",2016-10-07,7,57,48.9,74,10,5,1,1
"152",2016-10-07,8,60.1,50,69,10,5,1,1
"153",2016-10-07,9,64,52,65,10,5,1,1
"154",2016-10-07,10,64.9,53.1,65,10,5,1,1
"155",2016-10-07,11,66,53.1,63,10,5,1,1
"156",2016-10-07,13,66.9,54,63,10,5,1,1
"157",2016-10-07,14,66,55,68,10,5,1,1
"158",2016-10-07,15,64.9,57,75,10,5,1,1
"159",2016-10-07,16,64.9,57.9,78,10,5,1,1
"160",2016-10-07,17,63,57.9,84,10,5,1,1
"161",2016-10-07,18,63,57,81,10,5,1,1
"162",2016-10-07,19,63,55.9,78,10,5,1,0
"163",2016-10-07,20,62.1,55,78,10,5,1,0
"164",2016-10-07,21,60.1,55.9,86,10,5,1,0
"165",2016-10-07,22,59,55,87,10,5,1,0
"166",2016-10-07,23,59,53.1,81,10,5,1,0
"167",2016-10-08,0,57.9,53.1,84,10,6,0,0
"168",2016-10-08,1,55.9,53.1,90,10,6,0,0
"169",2016-10-08,2,54,52,93,10,6,0,0
"170",2016-10-08,3,54,52,93,10,6,0,0
"171",2016-10-08,4,54,51.1,90,10,6,0,0
"172",2016-10-08,5,52,51.1,97,10,6,0,0
"173",2016-10-08,6,53.1,52,96,10,6,0,0
"174",2016-10-08,7,53.1,53.1,100,10,6,0,1
"175",2016-10-08,8,55.9,54,93,10,6,0,1
"176",2016-10-08,9,57.9,55.9,93,10,6,0,1
"177",2016-10-08,10,59,57,93,10,6,0,1
"178",2016-10-08,11,63,57,81,10,6,0,1
"179",2016-10-08,12,64,57,78,10,6,0,1
"180",2016-10-08,13,64,57.9,80,10,6,0,1
"181",2016-10-08,14,63.5,59.55,87,10,6,0,1
"182",2016-10-08,15,64.9,61,87,10,6,0,1
"183",2016-10-08,16,65.9,62,87,10,6,0,1
"184",2016-10-08,17,66.9,62.1,84,10,6,0,1
"185",2016-10-08,18,66.9,62.1,84,10,6,0,1
"186",2016-10-08,19,66.45,62.1,85.5,10,6,0,0
"187",2016-10-08,20,66,62.1,87,10,6,0,0
"188",2016-10-08,21,64.9,62.1,90,10,6,0,0
"189",2016-10-08,22,64.9,62.1,90,10,6,0,0
"190",2016-10-08,23,64,63,96,10,6,0,0
"191",2016-10-09,0,63,63,100,10,0,0,0
"192",2016-10-09,1,63.95,63.5,98.5,10,0,0,0
"193",2016-10-09,2,64,64,100,10,0,0,0
"194",2016-10-09,3,64,62.1,93,10,0,0,0
"195",2016-10-09,4,63,62.1,97,10,0,0,0
"196",2016-10-09,5,63,62.1,97,10,0,0,0
"197",2016-10-09,6,62,61.1,97,10,0,0,0
"198",2016-10-09,7,59,59,100,10,0,0,1
"199",2016-10-09,8,57,57,100,10,0,0,1
"200",2016-10-09,9,57,57,100,10,0,0,1
"201",2016-10-09,10,55,54,96,10,0,0,1
"202",2016-10-09,11,55,54,96,10,0,0,1
"203",2016-10-09,12,54,54,100,10,0,0,1
"204",2016-10-09,13,54,53.1,97,10,0,0,1
"205",2016-10-09,14,53.1,51.55,94.5,10,0,0,1
"206",2016-10-09,15,52.55,51.1,95,10,0,0,1
"207",2016-10-09,16,52,51.1,97,10,0,0,1
"208",2016-10-09,17,51.4,50,95,10,0,0,1
"209",2016-10-09,18,51.1,48.9,92,10,0,0,1
"210",2016-10-09,19,50.55,50,98,10,0,0,0
"211",2016-10-09,20,50,48,93,10,0,0,0
"212",2016-10-09,21,50,48.3,94,10,0,0,0
"213",2016-10-09,22,50,46.9,89,10,0,0,0
"214",2016-10-09,23,50,46.9,89,10,0,0,0
"215",2016-10-10,0,48.9,44.1,83,10,1,1,0
"216",2016-10-10,1,46.9,41,80,10,1,1,0
"217",2016-10-10,2,46,39,76,10,1,1,0
"218",2016-10-10,3,45,37.9,76,10,1,1,0
"219",2016-10-10,4,45,37,74,10,1,1,0
"220",2016-10-10,5,45,37,74,10,1,1,0
"221",2016-10-10,6,45,36,71,10,1,1,0
